브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10560.0,202506,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22616.0,202506,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,190088.31,202506,
DX,MD,MD,인건비,"파트타임,인턴",노무비,노무비,2572.08,202506,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,7747.36,202506,
DX,MO,MO,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2881.72,202506,
DX,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,503.81,202506,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202506,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202506,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,88664.22,202506,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,12538.57,202506,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9353.0,202506,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,20030.38,202506,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,109579.98,202506,
DX,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,5403.77,202506,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,3444342.9,202506,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,19620.0,202506,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,42019.5,202506,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,213417.87,202506,
DX,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2027.18,202506,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10670.0,202506,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22852.7,202506,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,121581.72,202506,
DX,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,15654.0,202506,
