브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
MLB,Business Development,Business Development,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,274.21,202401,
MLB,Business Development,Business Development,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3458.0,202401,
MLB,Business Development,Business Development,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7709.66,202401,
MLB,Business Development,Business Development,인건비,"급여,성과급",인건비,인건비,36892.0,202401,
MLB,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3978.02,202401,
MLB,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,43309.0,202401,
MLB,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,100077.7,202401,
MLB,MD,MD,인건비,"급여,성과급",인건비,인건비,611652.08,202401,
MLB,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,116.0,202401,
MLB,MP(상품기획),MP(상품기획),복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8221.0,202401,
MLB,MP(상품기획),MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18329.79,202401,
MLB,MP(상품기획),MP(상품기획),인건비,"급여,성과급",인건비,인건비,92272.0,202401,
MLB,MP(상품기획),MP(상품기획),출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1610.0,202401,
MLB,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,4174.98,202401,
MLB,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,19429.0,202401,
MLB,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,43319.92,202401,
MLB,VMD,VMD,인건비,"급여,성과급",인건비,인건비,199073.78,202401,
MLB,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,2268.71,202401,
MLB,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,323.45,202401,
MLB,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1294.5,202401,
MLB,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,40071.0,202401,
MLB,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,89569.96,202401,
MLB,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,499165.36,202401,
MLB,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,27309.92,202401,
MLB,리테일,리테일,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,501.01,202401,
MLB,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15293.0,202401,
MLB,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,34100.35,202401,
MLB,리테일,리테일,인건비,"급여,성과급",인건비,인건비,171165.37,202401,
MLB,마케팅,마케팅,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3010.37,202401,
MLB,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,22551074.67,202401,
MLB,마케팅,마케팅,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,11449.44,202401,
MLB,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,41439.0,202401,
MLB,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,92395.44,202401,
MLB,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,487088.89,202401,
MLB,마케팅,마케팅,인건비,"파트타임,인턴",노무비,노무비,26067.62,202401,
MLB,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1886.67,202401,
MLB,온라인,온라인,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2741.53,202401,
MLB,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,64654.0,202401,
MLB,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,144158.01,202401,
MLB,온라인,온라인,인건비,"급여,성과급",인건비,인건비,930403.06,202401,
MLB,온라인,온라인,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,7108.83,202401,
MLB,유통MD,유통MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,29371.0,202401,
MLB,유통MD,유통MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,65791.73,202401,
MLB,유통MD,유통MD,인건비,"급여,성과급",인건비,인건비,327301.33,202401,
MLB,인테리어,인테리어,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2972.13,202401,
MLB,인테리어,인테리어,감가상각비,인테리어,감가상각비_인테리어,감가상각비_인테리어,5814.27,202401,
MLB,인테리어,인테리어,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20841.0,202401,
MLB,인테리어,인테리어,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,46468.74,202401,
MLB,인테리어,인테리어,인건비,"급여,성과급",인건비,인건비,426873.97,202401,
MLB,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,37580.77,202401,
