브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
KIDS,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,946.92,202501,
KIDS,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,14995.0,202501,
KIDS,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,32114.9,202501,
KIDS,MD,MD,인건비,"급여,성과급",인건비,인건비,259690.6,202501,
KIDS,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1096.26,202501,
KIDS,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6399.0,202501,
KIDS,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,13727.31,202501,
KIDS,VMD,VMD,인건비,"급여,성과급",인건비,인건비,111499.2,202501,
KIDS,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,403.14,202501,
KIDS,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8973.0,202501,
KIDS,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,19443.56,202501,
KIDS,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,192667.0,202501,
KIDS,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1302.86,202501,
KIDS,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7670.0,202501,
KIDS,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16526.39,202501,
KIDS,리테일,리테일,인건비,"급여,성과급",인건비,인건비,183030.42,202501,
KIDS,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,738.0,202501,
KIDS,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,1180411.98,202501,
KIDS,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,5621.0,202501,
KIDS,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,12037.45,202501,
KIDS,마케팅,마케팅,수주회,수주회,광고비_수주회,광고비_수주회,351519.66,202501,
KIDS,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,104797.0,202501,
KIDS,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12108.0,202501,
KIDS,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,25932.49,202501,
KIDS,온라인,온라인,인건비,"급여,성과급",인건비,인건비,191470.54,202501,
KIDS,인테리어,인테리어,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,2544.0,202501,
KIDS,인테리어,인테리어,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,5446.77,202501,
KIDS,인테리어,인테리어,인건비,"급여,성과급",인건비,인건비,41314.0,202501,
