브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7303.0,202408,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,15616.02,202408,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,176762.19,202408,
DX,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,3703.0,202408,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6043.4,202408,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3967.0,202408,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,8483.64,202408,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,34298.53,202408,
DX,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,3013.07,202408,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,150000.0,202408,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9660.0,202408,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,20656.3,202408,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,104289.43,202408,
DX,마케팅,마케팅,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6136.49,202408,
